,percent_change
2007-08-10,22.19662058371736
2007-08-13,44.19847328244275
2007-08-14,87.54745634016705
2007-08-15,33.71385083713851
2007-08-16,58.409090909090914
2007-08-17,37.08459214501511
2007-08-20,97.26651480637814
2007-08-21,55.23737754333082
2007-08-22,65.02649507948523
2007-08-23,61.11951588502269
2007-08-24,49.73424449506454
2007-08-27,36.38443935926773
2007-08-28,41.48372445117335
2007-08-29,34.76297968397291
2007-08-30,91.54716981132076
2007-08-31,63.86175807663411
2007-09-03,80.95238095238095
2007-09-04,33.933933933933936
2007-09-05,53.50414468726451
2007-09-06,59.29003021148036
2007-09-07,21.88449848024316
2007-09-10,73.48484848484848
2007-09-11,6.179351921627732
2007-09-12,60.22727272727273
2007-09-13,78.93553223388305
2007-09-14,65.47799696509864
2007-09-17,81.29277566539925
2007-09-18,49.01812688821752
2007-09-19,27.72795216741405
2007-09-20,66.59176029962546
2007-09-21,29.985007496251875
2007-09-24,47.70158251695554
2007-09-25,39.25373134328358
2007-09-26,28.024042073628852
2007-09-27,68.91891891891892
2007-09-28,90.9433962264151
2007-10-08,39.54887218045113
2007-10-09,62.14605067064084
2007-10-10,29.962546816479403
2007-10-11,23.692077727952167
2007-10-12,20.553064275037368
2007-10-15,45.67993989481593
2007-10-16,66.71664167916042
2007-10-17,41.7910447761194
2007-10-18,22.973977695167285
2007-10-19,38.79374534623976
2007-10-22,21.599402092675636
2007-10-23,52.910447761194035
2007-10-24,23.42814371257485
2007-10-25,5.128205128205128
2007-10-26,45.72940287226002
2007-10-29,69.61451247165533
2007-10-30,85.58490566037736
2007-10-31,95.57721139430285
2007-11-01,17.5018698578908
2007-11-02,22.904191616766468
2007-11-05,74.70149253731343
2007-11-06,66.7910447761194
2007-11-07,39.47565543071161
2007-11-08,8.509036144578314
2007-11-09,38.675696012039126
2007-11-12,34.5427059712774
2007-11-13,62.92974588938714
2007-11-14,96.95619896065331
2007-11-15,24.150943396226417
2007-11-16,50.03779289493575
2007-11-19,88.39820359281437
2007-11-20,75.48579970104635
2007-11-21,25.185185185185183
2007-11-22,6.175595238095238
2007-11-23,83.6842105263158
2007-11-26,28.46497764530551
2007-11-27,34.73762010347376
2007-11-28,41.66048925129726
2007-11-29,94.77611940298507
2007-11-30,21.842496285289748
2007-12-03,70.30438010393468
2007-12-04,58.72781065088757
2007-12-05,90.30347890451517
2007-12-06,55.72065378900446
2007-12-07,87.19467061435974
2007-12-10,96.92883895131087
2007-12-11,71.93763919821826
2007-12-12,55.77066269545793
2007-12-13,12.184249628528974
2007-12-14,87.35119047619048
2007-12-17,57.80780780780781
2007-12-18,30.70631970260223
2007-12-20,79.71662938105891
2007-12-21,85.67186340014847
2007-12-24,81.86567164179105
2007-12-25,69.63235294117646
2007-12-26,88.10051736881005
2007-12-27,62.703101920236335
2007-12-28,36.181277860326894
2008-01-02,91.87779433681072
2008-01-03,80.2612481857765
2008-01-04,43.92727272727272
2008-01-07,74.76294675419402
2008-01-08,17.531044558071585
2008-01-09,94.62989840348331
2008-01-10,50.90645395213923
2008-01-11,39.038601602330665
