updateDate,code,code_name,industry,industryClassification
2021-11-15,sh.600438,通威股份,电气设备,申万一级行业
2021-11-15,sh.600439,瑞贝卡,轻工制造,申万一级行业
2021-11-15,sh.600444,国机通用,机械设备,申万一级行业
2021-11-15,sh.600446,金证股份,计算机,申万一级行业
2021-11-15,sh.600448,华纺股份,纺织服装,申万一级行业
2021-11-15,sh.600449,宁夏建材,建筑材料,申万一级行业
2021-11-15,sh.600452,涪陵电力,公用事业,申万一级行业
2021-11-15,sh.600455,博通股份,传媒,申万一级行业
2021-11-15,sh.600456,宝钛股份,有色金属,申万一级行业
2021-11-15,sh.600458,时代新材,化工,申万一级行业
2021-11-15,sh.600459,贵研铂业,有色金属,申万一级行业
2021-11-15,sh.600460,士兰微,电子,申万一级行业
2021-11-15,sh.600461,洪城环境,公用事业,申万一级行业
2021-11-15,sh.600462,ST九有,通信,申万一级行业
2021-11-15,sh.600463,空港股份,房地产,申万一级行业
2021-11-15,sh.600466,蓝光发展,房地产,申万一级行业
2021-11-15,sh.600467,好当家,农林牧渔,申万一级行业
2021-11-15,sh.600468,百利电气,电气设备,申万一级行业
2021-11-15,sh.600469,风神股份,化工,申万一级行业
2021-11-15,sh.600470,六国化工,化工,申万一级行业
2021-11-15,sh.600472,包头铝业,,申万一级行业
2021-11-15,sh.600475,华光环能,电气设备,申万一级行业
2021-11-15,sh.600476,湘邮科技,计算机,申万一级行业
2021-11-15,sh.600477,杭萧钢构,建筑装饰,申万一级行业
2021-11-15,sh.600478,科力远,电子,申万一级行业
2021-11-15,sh.600479,千金药业,医药生物,申万一级行业
2021-11-15,sh.600480,凌云股份,汽车,申万一级行业
2021-11-15,sh.600481,双良节能,机械设备,申万一级行业
2021-11-15,sh.600482,中国动力,国防军工,申万一级行业
2021-11-15,sh.600483,福能股份,公用事业,申万一级行业
2021-11-15,sh.600485,*ST信威,,申万一级行业
2021-11-15,sh.600486,扬农化工,化工,申万一级行业
2021-11-15,sh.600487,亨通光电,通信,申万一级行业
2021-11-15,sh.600488,天药股份,医药生物,申万一级行业
2021-11-15,sh.600489,中金黄金,有色金属,申万一级行业
2021-11-15,sh.600490,鹏欣资源,有色金属,申万一级行业
2021-11-15,sh.600491,龙元建设,建筑装饰,申万一级行业
